cdp,cdpx,cdpy
192,119.864047625,22.662276875
193,119.86407075,22.66226125
194,119.864093875,22.662245625
195,119.864117,22.66223
196,119.864140125,22.662211
197,119.86416325,22.662192
198,119.864186375,22.662173
199,119.8642095,22.662154
200,119.864232625,22.662135
201,119.86425575,22.662116
202,119.864278875,22.662097
203,119.864302,22.662078
204,119.86432525,22.662062375
205,119.8643485,22.66204675
206,119.86437175,22.662031125
207,119.864395,22.6620155
208,119.86441825,22.661999875
209,119.8644415,22.66198425
210,119.86446475,22.661968625
211,119.864488,22.661953
212,119.864511125,22.661935125
213,119.86453425,22.66191725
214,119.864557375,22.661899375
215,119.8645805,22.6618815
216,119.864603625,22.661863625
217,119.86462675,22.66184575
218,119.864649875,22.661827875
219,119.864673,22.66181
220,119.864697625,22.661794
221,119.86472225,22.661778
222,119.864746875,22.661762
223,119.8647715,22.661746
224,119.864796125,22.66173
225,119.86482075,22.661714
226,119.864845375,22.661698
227,119.86487,22.661682
228,119.86489375,22.66166325
229,119.8649175,22.6616445
230,119.86494125,22.66162575
231,119.864965,22.661607
232,119.86498875,22.66158825
233,119.8650125,22.6615695
234,119.86503625,22.66155075
235,119.86506,22.661532
236,119.865080625,22.661515125
237,119.86510125,22.66149825
238,119.865121875,22.661481375
239,119.8651425,22.6614645
240,119.865163125,22.661447625
241,119.86518375,22.66143075
242,119.865204375,22.661413875
243,119.865225,22.661397
244,119.8652475,22.66138075
245,119.86527,22.6613645
246,119.8652925,22.66134825
247,119.865315,22.661332
248,119.8653375,22.66131575
249,119.86536,22.6612995
250,119.8653825,22.66128325
251,119.865405,22.661267
252,119.865426875,22.661251125
253,119.86544875,22.66123525
254,119.865470625,22.661219375
255,119.8654925,22.6612035
256,119.865514375,22.661187625
257,119.86553625,22.66117175
258,119.865558125,22.661155875
259,119.86558,22.66114
260,119.865605625,22.66112225
261,119.86563125,22.6611045
262,119.865656875,22.66108675
263,119.8656825,22.661069
264,119.865708125,22.66105125
265,119.86573375,22.6610335
266,119.865759375,22.66101575
267,119.865785,22.660998
268,119.865809125,22.660982375
269,119.86583325,22.66096675
270,119.865857375,22.660951125
271,119.8658815,22.6609355
272,119.865905625,22.660919875
273,119.86592975,22.66090425
274,119.865953875,22.660888625
275,119.865978,22.660873
276,119.866003,22.660855125
277,119.866028,22.66083725
278,119.866053,22.660819375
279,119.866078,22.6608015
280,119.866103,22.660783625
281,119.866128,22.66076575
282,119.866153,22.660747875
283,119.866178,22.66073
284,119.866200125,22.6607125
285,119.86622225,22.660695
286,119.866244375,22.6606775
287,119.8662665,22.66066
288,119.866288625,22.6606425
289,119.86631075,22.660625
290,119.866332875,22.6606075
291,119.866355,22.66059
292,119.866375875,22.66057375
293,119.86639675,22.6605575
294,119.866417625,22.66054125
295,119.8664385,22.660525
296,119.866459375,22.66050875
297,119.86648025,22.6604925
298,119.866501125,22.66047625
299,119.866522,22.66046
300,119.866544875,22.6604415
301,119.86656775,22.660423
302,119.866590625,22.6604045
303,119.8666135,22.660386
304,119.866636375,22.6603675
305,119.86665925,22.660349
306,119.866682125,22.6603305
307,119.866705,22.660312
308,119.86672875,22.660293375
309,119.8667525,22.66027475
310,119.86677625,22.660256125
311,119.8668,22.6602375
312,119.86682375,22.660218875
313,119.8668475,22.66020025
314,119.86687125,22.660181625
315,119.866895,22.660163
316,119.866917875,22.66014675
317,119.86694075,22.6601305
318,119.866963625,22.66011425
319,119.8669865,22.660098
320,119.867009375,22.66008175
321,119.86703225,22.6600655
322,119.867055125,22.66004925
323,119.867078,22.660033
324,119.86710175,22.660016375
325,119.8671255,22.65999975
326,119.86714925,22.659983125
327,119.867173,22.6599665
328,119.86719675,22.659949875
329,119.8672205,22.65993325
330,119.86724425,22.659916625
331,119.867268,22.6599
332,119.86729175,22.659884125
333,119.8673155,22.65986825
334,119.86733925,22.659852375
335,119.867363,22.6598365
336,119.86738675,22.659820625
337,119.8674105,22.65980475
338,119.86743425,22.659788875
339,119.867458,22.659773
340,119.867481,22.659758625
341,119.867504,22.65974425
342,119.867527,22.659729875
343,119.86755,22.6597155
344,119.867573,22.659701125
345,119.867596,22.65968675
346,119.867619,22.659672375
347,119.867642,22.659658
348,119.8676655,22.65963975
349,119.867689,22.6596215
350,119.8677125,22.65960325
351,119.867736,22.659585
352,119.8677595,22.65956675
353,119.867783,22.6595485
354,119.8678065,22.65953025
355,119.86783,22.659512
356,119.867854125,22.65949525
357,119.86787825,22.6594785
358,119.867902375,22.65946175
359,119.8679265,22.659445
360,119.867950625,22.65942825
361,119.86797475,22.6594115
362,119.867998875,22.65939475
363,119.868023,22.659378
364,119.868047875,22.659362625
365,119.86807275,22.65934725
366,119.868097625,22.659331875
367,119.8681225,22.6593165
368,119.868147375,22.659301125
369,119.86817225,22.65928575
370,119.868197125,22.659270375
371,119.868222,22.659255
372,119.868246375,22.6592385
373,119.86827075,22.659222
374,119.868295125,22.6592055
375,119.8683195,22.659189
376,119.868343875,22.6591725
377,119.86836825,22.659156
378,119.868392625,22.6591395
379,119.868417,22.659123
380,119.868440125,22.659106
381,119.86846325,22.659089
382,119.868486375,22.659072
383,119.8685095,22.659055
384,119.868532625,22.659038
385,119.86855575,22.659021
386,119.868578875,22.659004
387,119.868602,22.658987
388,119.8686245,22.65897075
389,119.868647,22.6589545
390,119.8686695,22.65893825
391,119.868692,22.658922
392,119.8687145,22.65890575
393,119.868737,22.6588895
394,119.8687595,22.65887325
395,119.868782,22.658857
396,119.868807,22.6588405
397,119.868832,22.658824
398,119.868857,22.6588075
399,119.868882,22.658791
400,119.868907,22.6587745
401,119.868932,22.658758
402,119.868957,22.6587415
403,119.868982,22.658725
404,119.8690065,22.6587085
405,119.869031,22.658692
406,119.8690555,22.6586755
407,119.86908,22.658659
408,119.8691045,22.6586425
409,119.869129,22.658626
410,119.8691535,22.6586095
411,119.869178,22.658593
412,119.869199875,22.658577
413,119.86922175,22.658561
414,119.869243625,22.658545
415,119.8692655,22.658529
416,119.869287375,22.658513
417,119.86930925,22.658497
418,119.869331125,22.658481
419,119.869353,22.658465
420,119.869373,22.65844725
421,119.869393,22.6584295
422,119.869413,22.65841175
423,119.869433,22.658394
424,119.869453,22.65837625
425,119.869473,22.6583585
426,119.869493,22.65834075
427,119.869513,22.658323
428,119.869537375,22.658307
429,119.86956175,22.658291
430,119.869586125,22.658275
431,119.8696105,22.658259
432,119.869634875,22.658243
433,119.86965925,22.658227
434,119.869683625,22.658211
435,119.869708,22.658195
436,119.86972675,22.65817975
437,119.8697455,22.6581645
438,119.86976425,22.65814925
439,119.869783,22.658134
440,119.86980175,22.65811875
441,119.8698205,22.6581035
442,119.86983925,22.65808825
443,119.869858,22.658073
444,119.869879125,22.65805425
445,119.86990025,22.6580355
446,119.869921375,22.65801675
447,119.8699425,22.657998
448,119.869963625,22.65797925
449,119.86998475,22.6579605
450,119.870005875,22.65794175
451,119.870027,22.657923
452,119.870050875,22.65790575
453,119.87007475,22.6578885
454,119.870098625,22.65787125
455,119.8701225,22.657854
456,119.870146375,22.65783675
457,119.87017025,22.6578195
458,119.870194125,22.65780225
459,119.870218,22.657785
460,119.870242875,22.65776725
461,119.87026775,22.6577495
462,119.870292625,22.65773175
463,119.8703175,22.657714
464,119.870342375,22.65769625
465,119.87036725,22.6576785
466,119.870392125,22.65766075
467,119.870417,22.657643
468,119.870439875,22.65762575
469,119.87046275,22.6576085
470,119.870485625,22.65759125
471,119.8705085,22.657574
472,119.870531375,22.65755675
473,119.87055425,22.6575395
474,119.870577125,22.65752225
475,119.8706,22.657505
476,119.870624375,22.657487125
477,119.87064875,22.65746925
478,119.870673125,22.657451375
479,119.8706975,22.6574335
480,119.870721875,22.657415625
481,119.87074625,22.65739775
482,119.870770625,22.657379875
483,119.870795,22.657362
484,119.870819375,22.65734575
485,119.87084375,22.6573295
